student_id,sub_sample_group,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,wellbeing_index
S075,C,N,D,A,N,D,D,SA,A,SA,SD,Mental stress,D,A,SA,N,SA,N,A,VO,S,VO,VO,R,Ext,under 5 hours,Enjoy life,18 or 19,First year,Woman,East Asian,No,Transfer,Social sciences,Very conf.,1 to 5 credits,All/mostly in-person,20 to 29 hours,3.12
S076,B,A,A,A,N,A,A,SA,N,A,N,Teaching,N,SA,N,A,SA,A,SA,O,S,S,R,Nvr,Very,20 or more hours,School,18 or 19,First year,Woman,MENA,Not sure,Transfer,Health professions,Unsure,15 or more credits,Equal,0 hours,3.88
S077,A,A,A,A,A,A,A,A,D,A,A,Mental stress,N,A,D,A,N,D,N,R,S,O,R,Nvr,Mod,5 to 10 hours,Mental well-being,20 or 21,First year,Woman,MENA,No,Transfer,Health professions,Some conf.,12 to 14 credits,Equal,0 hours,3.75
S078,C,A,A,N,D,A,A,A,N,A,N,Mental stress,N,A,A,A,A,D,D,O,S,O,O,R,Ext,5 to 10 hours,Mental well-being,20 or 21,Second year,Man,Latino/Hispanic,No,Transfer,Social sciences,Some conf.,12 to 14 credits,More online,20 to 29 hours,3.5
S079,D,A,A,A,SA,SA,A,SA,SA,SA,A,Motivation,N,N,SA,N,A,SA,SA,O,S,O,S,Nvr,No stress,20 or more hours,Future,17 or younger,Prefer not,Woman,South Asian,Yes,Other,Humanities,Very conf.,6 to 8 credits,Equal,1 to 9 hours,4.5
S080,A,A,A,N,N,A,A,SA,SA,N,A,Not prepared,A,N,N,A,D,D,A,VO,S,VO,S,Nvr,Mod,under 5 hours,Future,18 or 19,Second year,Woman,Black/African Am.,No,Transfer,Arts/creative,Not conf.,15 or more credits,All/mostly online,20 to 29 hours,4.0
S081,B,A,N,D,N,A,D,SA,D,N,A,Motivation,N,N,D,D,N,N,A,S,O,VO,S,Nvr,Mod,under 5 hours,Money,20 or 21,Second year,Man,South Asian,Yes,Transfer,STEM,Low conf.,1 to 5 credits,All/mostly in-person,10 to 19 hours,3.12
S082,C,A,A,N,A,A,A,A,N,A,A,Motivation,N,N,A,A,A,A,A,VO,S,VO,O,R,Mod,5 to 10 hours,Mental well-being,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,9 to 11 credits,More online,20 to 29 hours,3.75
S083,D,N,A,A,A,D,D,A,A,A,N,Motivation,A,A,A,A,A,D,A,S,S,O,O,R,No stress,5 to 10 hours,School,18 or 19,First year,Man,Latino/Hispanic,Yes,Transfer,STEM,Low conf.,12 to 14 credits,More online,1 to 9 hours,3.38
S084,B,SA,A,SA,SD,A,A,A,D,SA,D,Mental stress,D,A,SA,A,A,SD,A,VO,S,O,S,Nvr,Ext,20 or more hours,School,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Very conf.,15 or more credits,Equal,1 to 9 hours,3.62
S085,C,N,A,A,A,N,A,A,A,N,SA,Low energy,N,A,A,N,A,N,,VO,R,O,S,R,Slight,under 5 hours,Future,18 or 19,First year,Woman,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,More online,20 to 29 hours,3.75
S086,C,N,A,A,N,N,A,SA,D,A,A,Motivation,N,A,A,A,A,N,A,S,S,VO,R,R,Mod,11 to 19 hours,Future,18 or 19,First year,Woman,Black/African Am.,Yes,Transfer,Social sciences,Unsure,9 to 11 credits,Equal,0 hours,3.5
S087,B,A,A,N,A,A,A,N,A,A,A,Not prepared,A,N,A,A,A,N,A,O,S,S,S,Nvr,No stress,under 5 hours,Money,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,12 to 14 credits,Equal,0 hours,3.75
S088,B,N,A,A,A,N,A,N,A,A,D,Family/care,N,A,A,N,A,N,A,O,S,S,O,O,Mod,5 to 10 hours,Friends/relations,20 or 21,Third+,Woman,Latino/Hispanic,Yes,Transfer,Business,Unsure,1 to 5 credits,Equal,1 to 9 hours,3.62
